FID,X,Y,SOC,Precipitation,Temperature,Elevation,Slope,Soiltype,Green,Red,SWIR1,BSI,EVI,GNDVI,GSAVI,NDVI,NMDI,SAVI
64,207032,2668019,2.59,0.792273337,0.645451956,0.03992998,0.52630939,3,0.12150568,0.747139027,0.279176504,0.811724836,0.825966068,0.897740233,0.235969091,0.227556069,0.901322958,0.374531128
65,207118,2665181,2.26,0.090637149,0.125677636,0.231326495,0.483935046,1,0.71800478,0.18030024,0.221806456,0.36000851,0.003525678,0.434933364,0.088367378,0.524985633,0.782888939,0.519613994
66,211073,2665661,2.23,0.334862545,0.925212102,0.005966949,0.029151675,2,0.144099299,0.579964902,0.050239575,0.592588015,0.265664173,0.698931157,0.477248753,0.077272412,0.661788344,0.284651744
67,231564,2665167,3.7,0.963811884,0.070537708,0.431675865,0.486893351,2,0.306828822,0.109535093,0.916773278,0.267738754,0.359294218,0.808216566,0.601164675,0.380649368,0.649456842,0.237430298
68,270325,2662231,6.15,0.997443327,0.915945565,0.832714847,0.00636296,5,0.354106336,0.260987372,0.834970716,0.290526254,0.961467041,0.566107962,0.383273974,0.287044937,0.293760946,0.157501249
69,311221,2660545,3,0.149550934,0.225266264,0.350622343,0.882091818,1,0.523840167,0.171562691,0.943858733,0.735548598,0.092189871,0.008940787,0.259262851,0.01454131,0.528105287,0.424626129
70,217671,2657445,3.4,0.213367087,0.501686262,0.982176076,0.400153777,2,0.20262717,0.492461789,0.98691172,0.662439941,0.008460741,0.09954004,0.309362651,0.103391329,0.481868535,0.762124169
71,236502,2653870,2.96,0.238551735,0.819883403,0.304687768,0.713001406,5,0.966229847,0.919382405,0.770136987,0.522486693,0.244520564,0.512470249,0.079240274,0.5325342,0.951114845,0.694702047
72,200621,2654037,2.48,0.030334126,0.291078687,0.47033823,0.365347798,2,0.386929127,0.257461343,0.274062412,0.17184878,0.306010185,0.268044323,0.967369863,0.933112629,0.454204098,0.18232213
73,246867,2653112,2.3,0.634153172,0.860330641,0.838840139,0.261857621,4,0.524326425,0.302014068,0.113636696,0.693925735,0.889384458,0.695720003,0.235353819,0.399118545,0.746923474,0.986028959
74,221395,2652841,2.01,0.518626872,0.519917142,0.419106925,0.532410843,2,0.909675499,0.801420562,0.17785709,0.259701005,0.793195131,0.536355513,0.62878379,0.095342387,0.358653094,0.755500783
75,305624,2652722,3.97,0.780657686,0.296156787,0.467765514,0.881014161,2,0.135534201,0.922648604,0.324209898,0.655667513,0.878816627,0.320991399,0.934608445,0.065023407,0.925424951,0.702973096
76,191704,2652580,2.8,0.171956985,0.17252442,0.544888489,0.143359151,3,0.889118473,0.634063952,0.677066125,0.88658075,0.515693737,0.959695593,0.706165222,0.987288908,0.852372321,0.917634424
77,191422,2651407,1.02,0.195038896,0.51741735,0.96455591,0.43136343,4,0.875915336,0.759655758,0.942355014,0.046910163,0.19520332,0.514419062,0.405698733,0.021239874,0.991885724,0.592659522
78,199476,2650817,3.44,0.927255181,0.05494175,0.871041133,0.428662161,4,0.135497418,0.400172612,0.29973493,0.148463209,0.364126,0.081552827,0.833985183,0.12838587,0.227042629,0.748978344
79,192730,2650532,1.77,0.910710516,0.321799304,0.616105434,0.504967626,5,0.335635475,0.804086234,0.617999031,0.078544267,0.399463284,0.324860651,0.57973517,0.783943894,0.870385129,0.618516389
80,185464,2649804,1.98,0.615635942,0.766319955,0.663281097,0.609307024,2,0.2880544,0.977133969,0.925795965,0.039155458,0.319847429,0.729839403,0.666167447,0.812174777,0.476990358,0.741340852
81,195207,2645981,1.82,0.553542666,0.334338662,0.163617173,0.020992266,4,0.078246669,0.430671812,0.191154205,0.120948439,0.613304889,0.621661793,0.576581561,0.29120178,0.509382114,0.557277945
82,247724,2645882,1.6,0.363830649,0.119784604,0.4005151,0.570617718,4,0.642346666,0.203198435,0.727353769,0.508567389,0.913940842,0.506785439,0.328000352,0.081322205,0.541798097,0.258034238
83,193841,2645217,3.4,0.521634245,0.811421841,0.132129227,0.032783125,3,0.457397648,0.795156255,0.515874983,0.448594196,0.541492852,0.355968088,0.434309464,0.831715843,0.091840417,0.988108065
84,199334,2644234,3.15,0.440377322,0.544190773,0.087986429,0.656412021,2,0.341628748,0.705822331,0.290691986,0.798280733,0.218959144,0.709017182,0.875404776,0.541090265,0.881077764,0.66678891
85,190315,2643715,4.22,0.498092866,0.332263488,0.940141591,0.116531483,5,0.804859053,0.215289361,0.84057433,0.077386938,0.130177689,0.027942228,0.793378417,0.349018186,0.604395032,0.700892476
86,237763,2642948,2.88,0.35641298,0.354133748,0.932841101,0.812797961,4,0.118886092,0.078813023,0.005903082,0.147879231,0.400149783,0.074669524,0.319182549,0.173098724,0.105306517,0.58279937
87,187249,2642711,2.88,0.339003932,0.919871396,0.283311195,0.358360735,3,0.278332246,0.637382102,0.059970206,0.2682518,0.959754924,0.791225282,0.401761422,0.742808303,0.739057091,0.401601382
88,245944,2641653,3.64,0.218439872,0.764191706,0.956513271,0.51166641,5,0.691823911,0.150856206,0.487282122,0.828399764,0.484223503,0.059396016,0.746977974,0.705773422,0.113435082,0.446114478
89,303892,2642162,1.53,0.945289962,0.573731196,0.080850397,0.856637683,5,0.277992949,0.039436208,0.400270157,0.653504922,0.736033741,0.368214066,0.042501948,0.840404958,0.381248255,0.906309091
90,208496,2641263,3.76,0.416298065,0.282996503,0.389875956,0.568977512,4,0.986769606,0.998628068,0.50511393,0.00381717,0.211092398,0.213337439,0.575862008,0.792279429,0.669526646,0.145433899
91,205714,2640820,2.97,0.132480874,0.50767989,0.160916989,0.620097252,3,0.952835166,0.446626023,0.886659289,0.956079745,0.507528978,0.260368298,0.281318514,0.396425079,0.465262343,0.861112389
92,202270,2639240,3.06,0.289442512,0.787711598,0.59007513,0.421431745,2,0.134478368,0.720945141,0.939023735,0.95272878,0.242658747,0.262923368,0.086146269,0.611878232,0.064969562,0.309516801
93,227537,2637976,2.19,0.16084301,0.228985662,0.512175901,0.000802579,4,0.270497465,0.7166824,0.270646033,0.964878524,0.407293081,0.404157573,0.861457702,0.563000643,0.622261949,0.090114653
94,215737,2638165,3.1,0.664385037,0.276689718,0.511978489,0.444638548,1,0.547501865,0.51178444,0.539295667,0.75188507,0.199736389,0.756681531,0.758347442,0.331239203,0.366727834,0.433121042
95,207664,2637893,2.07,0.121193772,0.748136345,0.383995544,0.931148547,3,0.993992237,0.149359039,0.187425332,0.893886078,0.712810929,0.130131652,0.559388636,0.836884883,0.381338943,0.003257792
96,196294,2637693,1.58,0.090172715,0.13925903,0.172851019,0.384525139,5,0.705779101,0.874625438,0.646935137,0.705008171,0.761247247,0.274645431,0.797318368,0.150933164,0.162951656,0.041918566
97,189553,2637643,3.67,0.151734166,0.633827259,0.668441693,0.169880854,3,0.316617696,0.033704958,0.522227046,0.552993209,0.78063527,0.545968108,0.27646433,0.162878449,0.183912296,0.24273381
98,224130,2637274,2.28,0.59079891,0.259928849,0.596062176,0.022019833,5,0.438367251,0.282127151,0.267017776,0.661833545,0.124876092,0.121844443,0.711802448,0.216572689,0.993089005,0.743537435
99,180585,2636443,1.47,0.221012076,0.706488091,0.862301632,0.329334798,2,0.711799661,0.617155681,0.987849566,0.243030346,0.891212201,0.915680007,0.747313617,0.962271018,0.60444544,0.309190023
100,300888,2637468,1.65,0.637229962,0.94106835,0.798026854,0.762481157,3,0.160216321,0.26753226,0.453143013,0.320765217,0.102133858,0.327553476,0.378420597,0.015450035,0.587424835,0.068590187
101,230626,2636704,2.64,0.314797143,0.422371227,0.106154823,0.682588034,5,0.583202747,0.418077638,0.696272154,0.261959138,0.636770693,0.198318702,0.645515785,0.737286305,0.780975858,0.967215218
102,233012,2636166,4.44,0.440143694,0.053755276,0.799370519,0.249605483,1,0.111002382,0.122332003,0.334371362,0.008572962,0.431999611,0.837683588,0.81554674,0.941453561,0.383538845,0.890497388
103,216474,2635398,2.75,0.954604434,0.583372077,0.741491596,0.384500597,4,0.756722336,0.269603672,0.762574767,0.751033141,0.70356294,0.012901099,0.626528628,0.437957075,0.154160197,0.05103057
104,300406,2635063,4,0.144059379,0.41074576,0.007555787,0.928419112,2,0.566917164,0.15582973,0.644334427,0.874960308,0.135570592,0.817985431,0.838687066,0.200593955,0.607165953,0.455060182
105,296667,2631464,1.41,0.491674645,0.128071897,0.424699599,0.305092635,1,0.603285771,0.97331652,0.866134395,0.891310027,0.268170329,0.127224336,0.922811295,0.990117387,0.404834831,0.75341675
106,295568,2631507,3.39,0.517052429,0.307902025,0.716929517,0.242874142,5,0.724905365,0.195532232,0.139816431,0.072423185,0.431437378,0.962817283,0.56457527,0.633572673,0.403455856,0.542794516
107,218896,2630041,4.5,0.955612039,0.328263898,0.703193925,0.355345461,2,0.368189038,0.279993039,0.00623761,0.228241842,0.060500543,0.459900597,0.806763359,0.381063484,0.087830984,0.058621679
108,180852,2630388,4.11,0.202136994,0.637773931,0.154660438,0.170391274,1,0.797179686,0.622302159,0.297854877,0.060980738,0.952358577,0.453427819,0.683746203,0.321987424,0.420905099,0.930020341
109,212649,2628360,1.55,0.905536285,0.217085034,0.461707235,0.808246171,3,0.63377463,0.095581049,0.810917109,0.703883709,0.9632184,0.018370679,0.082443116,0.54834868,0.051936116,0.309654643
110,186177,2628562,3.26,0.319362863,0.157396248,0.338838034,0.847208472,5,0.459567465,0.298651175,0.158190743,0.696990103,0.093109538,0.01090516,0.988289427,0.508179717,0.901956922,0.75623644
111,186408,2628178,3.56,0.004254065,0.288335386,0.465862868,0.41178173,3,0.83992749,0.743969129,0.061988264,0.733900356,0.252764641,0.838749425,0.046703967,0.162831293,0.374849928,0.008510218
112,296338,2628026,3.05,0.265388774,0.431738756,0.030796402,0.915488524,4,0.34304315,0.119465227,0.825833056,0.421456028,0.947297881,0.961748312,0.042635596,0.811763605,0.71531798,0.96062058
113,227432,2626484,5.09,0.253061023,0.355492999,0.031108149,0.593695271,5,0.887423362,0.926402602,0.0219895,0.983588244,0.485076798,0.878914844,0.223152354,0.301580465,0.58832986,0.036071478
114,179937,2626257,1.25,0.919730372,0.90417861,0.465574164,0.722629443,4,0.863041344,0.938669646,0.753121168,0.448381848,0.461173461,0.67443432,0.072653486,0.111611254,0.440144383,0.635433207
115,181105,2624936,2.99,0.844206612,0.007072583,0.060328821,0.741421731,3,0.169529054,0.537223831,0.132222676,0.31997655,0.498056777,0.381199749,0.963903292,0.513552739,0.338451299,0.814729095
116,174085,2624777,2.8,0.765668261,0.009632713,0.70724274,0.647453515,5,0.413106095,0.192854458,0.924398901,0.907870557,0.890500734,0.54989836,0.46424478,0.944770845,0.03194094,0.797056513
117,171466,2624447,2.07,0.337494149,0.567645832,0.057987056,0.532767193,2,0.18279845,0.353212203,0.911335598,0.906188552,0.160669426,0.318149586,0.050387448,0.768393661,0.654593322,0.887410664
118,180627,2624486,1.78,0.354591802,0.40378865,0.578926995,0.840562507,1,0.030116768,0.523106994,0.796364841,0.622221343,0.540131016,0.846270439,0.25333076,0.638663727,0.099454579,0.587128575
119,169860,2622710,1.29,0.195654053,0.136861804,0.493513233,0.582766159,2,0.141784419,0.281685967,0.15350121,0.616590221,0.143319176,0.28359175,0.941557781,0.041226731,0.234802091,0.358627481
120,237215,2623246,2.17,0.801789762,0.949095741,0.012021311,0.690016687,3,0.338588803,0.334490018,0.415461851,0.527997584,0.839577059,0.285905193,0.497964482,0.692883334,0.958908117,0.144250714
121,172144,2621942,1.95,0.334595379,0.23472302,0.540795484,0.268892908,1,0.280852908,0.980058767,0.753510709,0.423453493,0.534171851,0.82333863,0.386541465,0.32377191,0.375838019,0.418090678
122,176457,2621330,1.27,0.531246074,0.242515474,0.077536825,0.562450932,2,0.825609539,0.945829917,0.534671944,0.988245981,0.195376094,0.99030265,0.691084215,0.1720746,0.362496182,0.299225697
123,187257,2620836,3.79,0.227486787,0.928969276,0.091253258,0.727009926,4,0.42036227,0.667445272,0.194683,0.663086876,0.082943914,0.495545065,0.984161986,0.917178241,0.689890441,0.527689446
124,291220,2619385,4.5,0.863494011,0.612776894,0.366460239,0.47187379,5,0.255739241,0.520054574,0.290739349,0.857567092,0.682723551,0.716309542,0.495452615,0.598761219,0.269747362,0.044341409
125,204782,2618473,2.53,0.936388768,0.33268361,0.11247592,0.739174455,1,0.508597349,0.494217719,0.184436027,0.544538395,0.631284137,0.682240342,0.71859342,0.892032135,0.368189729,0.678374731
126,176862,2617071,1.33,0.35547022,0.611467034,0.644166836,0.287975969,3,0.221525276,0.578467585,0.926068537,0.109503401,0.382490074,0.015989777,0.936821543,0.895428721,0.307477735,0.4508736
127,189728,2614488,2.77,0.816461841,0.002488944,0.664550059,0.034358072,4,0.305025151,0.47224749,0.168057895,0.155137329,0.661807579,0.937167484,0.263656668,0.269135201,0.695324053,0.697595165
128,197125,2613450,3.71,0.952759815,0.581988335,0.65870578,0.793227412,1,0.781821368,0.742606416,0.711621368,0.837193324,0.205126053,0.057219073,0.16137292,0.739103094,0.077283171,0.133010981
129,174166,2612668,1.25,0.498802832,0.334947875,0.115475049,0.790431742,3,0.482928468,0.19896604,0.702405231,0.114190202,0.535717377,0.368302238,0.57441996,0.003833174,0.380909532,0.892742191
130,178447,2612715,2.36,0.310994682,0.226084805,0.679842165,0.527168215,3,0.671416792,0.026076667,0.25007429,0.892200301,0.807358264,0.815783244,0.958359733,0.090487642,0.997263042,0.79677302
131,177060,2613027,5.13,0.673299008,0.351922143,0.38273921,0.379521278,3,0.911487516,0.419029277,0.453230933,0.068446877,0.389329066,0.717606974,0.398648547,0.433485577,0.640951808,0.678724781
132,189259,2612284,2.58,0.626042291,0.098836281,0.375514478,0.862651681,2,0.316971246,0.988479205,0.907163888,0.258775965,0.968690657,0.634037853,0.030815266,0.595217255,0.475150251,0.289114706
133,199653,2612082,3.99,0.869515106,0.448407453,0.752162007,0.737119912,3,0.781347615,0.959543217,0.103187594,0.118249709,0.343424925,0.405489528,0.584404844,0.652599291,0.289195644,0.359548127
134,171849,2611797,0.57,0.250540539,0.793137116,0.949108509,0.717649306,5,0.747395227,0.446653503,0.119045991,0.259974578,0.852284489,0.784057871,0.376061788,0.137126154,0.022676106,0.42639369
135,301522,2611027,1.62,0.900304229,0.01505024,0.427481683,0.81232029,2,0.719483754,0.079155662,0.320647618,0.098538395,0.800765316,0.52963,0.046915668,0.756107552,0.909493722,0.119728651
136,175911,2610455,1.73,0.546883228,0.974448628,0.549217222,0.29967531,1,0.059862722,0.834329522,0.961367488,0.084682611,0.488232631,0.812361288,0.19745781,0.925029393,0.920802793,0.887749098
137,301428,2609596,1.98,0.463607682,0.801372415,0.911488101,0.846312194,5,0.12126292,0.561613699,0.431763595,0.989591126,0.956229382,0.279966151,0.495108031,0.534375828,0.978515626,0.315251213
138,186453,2608816,4.88,0.871296476,0.927525561,0.559465529,0.243941287,1,0.452467151,0.519087279,0.016127802,0.298912792,0.386496093,0.209461395,0.874362661,0.994884379,0.479478418,0.034171529
